id,skills
73,Kiểm tra thiết bị điện tử
74,Phát triển sản phẩm điện tử
75,Công nghệ thông tin
76,Hệ thống điện tử
76,Lập trình vi điều khiển
77,Viễn thông
79,Tự động hóa
81,Robot
81,Cơ khí
82,Thiết bị điện tử
83,Điện tử công suất
83,Điều khiển tự động
85,Tương tác con người
87,Quản lý tài chính
87,Xử lý nhanh chóng thông tin khách hàng
87,Tư vấn khách hàng
87,Sử dụng phần mềm kế toán
88,Phân tích tài chính
88,Đánh giá tín dụng
88,Kiểm tra hồ sơ khách hàng
89,Lập kế hoạch kinh doanh
89,Quản lý đội ngũ nhân viên
89,Tìm kiếm khách hàng tiềm năng
89,Thương lượng và ký kết hợp đồng
90,Tư vấn bảo hiểm
90,Giải đáp thắc mắc khách hàng
90,Quản lý hồ sơ bảo hiểm
91,Quản lý hoạt động chi nhánh
91,Đào tạo nhân viên
91,Phát triển khách hàng
92,Tư vấn tín dụng
92,Xử lý các thủ tục vay vốn
93,Phát triển sản phẩm
93,Tìm hiểu nhu cầu khách hàng
93,Đưa ra phương án phát triển sản phẩm mới
94,Giao dịch tại quầy
94,Tư vấn sản phẩm
94,Đối chiếu số liệu
95,Hỗ trợ khách hàng
95,Xử lý yêu cầu của khách hàng
95,Hướng dẫn sử dụng sản phẩm ngân hàng
96,Quản lý văn phòng
96,sử dụng phần mềm văn phòng
97,Tiếng Anh giao tiếp
97,xử lý thông tin khách hàng
98,Tính toán
99,quản lý hồ sơ khách hàng
100,Kiến thức về sản phẩm
101,sử dụng công cụ quảng cáo trên mạng
102,Quản lý tài liệu
102,xử lý văn bản
103,Tổ chức lịch làm việc
103,sắp xếp các cuộc họp
104,Tính toán thuế
104,theo dõi chi phí
105,Tính toán tài chính
105,quản lý ngân sách
106,Xây dựng quy trình quản lý
106,đánh giá chất lượng
107,phục vụ khách hàng
108,Nghiên cứu văn bản pháp luật
108,đưa ra ý kiến ​​pháp lý
109,sử dụng phần mềm bán hàng
110,Hỗ trợ khách hàng qua điện thoại
110,email và chat
111,Tính toán chi phí
112,Sử dụng phần mềm CRM
112,tìm kiếm khách hàng
113,Cài đặt và bảo trì hệ thống mạng
